Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6",0805,4,100nF,C49678
"C4, C7",0805,2,1uF,C28323
C5,0805,1,10uF,C15850
D1,D_SOD-123,1,1N4148W,C81598
"D2, D3, D4",0805,3,green,C2297
J1,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick,C141880
"J10, J3",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Pin,C7501275
"J11, J12",USB_A_Wuerth_61400826021_Horizontal_Stacked,2,USB_A_Stacked,C456021
"J4, J7, J8, J9",PinSocket_1x20_P2.54mm_Vertical,4,Conn_01x20_Pin,C18078139
J5,DIN-5_180degree,1,MIDI IN,C2939346
J6,DIN-5_180degree,1,MIDI OUT,C2939346
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,2N7002,C8545
"R1, R10, R12, R13, R14, R2, R3, R4, R5, R6, R7, R8, R9",0805,13,10k,C17414
"R11, R15",0805,2,220,C17557
"R16, R17",0805,2,47,C17714
"R18, R19, R20",0805,3,560,C28636
U1,SMDIP-6_W9.53mm,1,H11L1S,C78589
U2,SOT-23-6,1,74LVC2G14,C5375976
U4,SSOP-28_3.9x9.9mm_P0.635mm,1,CH334U,C5187524
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
